trimestre,anio,trimestre_num,puestos_ar,puestos_anr,puestos_total_asalariados,tasa_informalidad,periodo,var_ia_puestos_ar,var_ia_puestos_anr,var_ia_tasa_informalidad,empleo_oede,var_ia_empleo_oede,brecha_var_ia,periodo_crisis
2017 Q1,2017,1,10655.42,4368.87,15024.29,0.2907871187257434,No crisis,0.4020635556288399,-0.8010626341064642,-0.8498556317878214,6616821,0.05,-1.203126189735304,0
2017 Q2,2017,2,10632.46,4613.48,15245.94,0.3026038407602286,No crisis,0.8152483103367247,0.14978574126573996,-0.4603381408726403,6571568,0.7,-0.6654625690709848,0
2017 Q3,2017,3,10706.7,4798.41,15505.11,0.3094728125114881,No crisis,1.2762278443176012,0.42170162360355423,-0.5826378019646583,6596516,1.47,-0.8545262207140469,0
2017 Q4,2017,4,10806.51,4963.93,15770.44,0.31476166803209044,No crisis,1.5009331521192992,4.437169552895748,1.982269197974862,6675028,1.79,2.9362364007764485,0
2018 Q1,2018,1,10831.67,4672.34,15504.01,0.30136332471405786,No crisis,1.6540877788017827,6.946189747005516,3.6370957677425153,6721299,1.58,5.292101968203733,0
2018 Q2,2018,2,10760.89,4704.98,15465.87,0.3042169628995976,Crisis,1.2079048498654157,1.9833184494134624,0.5330805238017877,6648381,1.17,0.7754135995480467,1
2018 Q3,2018,3,10743.57,4785.19,15528.759999999998,0.3081501678176493,Crisis,0.34436380957716395,-0.2755079286680395,-0.4273863940114975,6586368,-0.15,-0.6198717382452035,1
2018 Q4,2018,4,10738.59,4988.52,15727.11,0.3171924148810557,Crisis,-0.6285100370054697,0.495373625333162,0.772249957932436,6568783,-1.59,1.1238836623386317,1
2019 Q1,2019,1,10726.78,4815.06,15541.84,0.3098127377453378,Crisis,-0.9683640657442428,3.0545722271923648,2.803729697134516,6576524,-2.15,4.022936292936608,1
2019 Q2,2019,2,10655.12,4843.03,15498.15,0.3124908456815813,Crisis,-0.9829112647745551,2.9341251184914707,2.719730912807239,6482832,-2.49,3.917036383266026,1
2019 Q3,2019,3,10671.5,4815.92,15487.42,0.31095689275553967,Crisis,-0.6708198485233519,0.6421897563106294,0.9108302480468788,6443730,-2.17,1.3130096048339812,1
2019 Q4,2019,4,10653.59,5135.23,15788.82,0.32524469846384974,Crisis,-0.7915378089674685,2.940952426771859,2.53861164549396,6405747,-2.48,3.7324902357393275,1
2023 Q1,2023,1,11178.58,5431.41,16609.989999999998,0.32699658458554165,No crisis,3.311279087713914,6.908259914495596,2.3431907948299857,6791234,4.26,3.5969808267816816,0
2023 Q2,2023,2,11179.87,5391.25,16571.120000000003,0.3253401097813545,No crisis,3.12572352576006,-0.5111691379326211,-2.379295408881188,6783223,3.7,-3.6368926636926813,0
2023 Q3,2023,3,11285.45,5437.91,16723.36,0.32516850680724446,Crisis,3.0056178493357733,2.6828655753677877,-0.2114480778045991,6813266,3.12,-0.32275227396798556,1
2023 Q4,2023,4,11294.02,5723.76,17017.78,0.3363399926429887,Crisis,2.3133242621840022,6.2215714548177425,2.5351022257567246,6806304,1.75,3.9082471926337403,1
2024 Q1,2024,1,11214.13,5395.34,16609.47,0.3248351693341208,Crisis,0.3180189254806898,-0.6641001139667146,-0.6609901611542401,6765105,-0.38,-0.9821190394474044,1
2024 Q2,2024,2,11048.91,5561.34,16610.25,0.3348137445252179,Crisis,-1.1713910805760783,3.1549269649895795,2.91191723954054,6644246,-2.05,4.326318045565658,1
2024 Q3,2024,3,11060.02,5514.74,16574.760000000002,0.33271914646124584,Crisis,-1.9975277902077424,1.412858984426002,2.3220697871818574,6630028,-2.69,3.4103867746337446,1
2024 Q4,2024,4,11106.37,5791.28,16897.65,0.3427269472382254,Crisis,-1.6614987400411896,1.179644149999293,1.8989578209381184,6687011,-1.75,2.8411428900404827,1
2025 Q1,2025,1,11146.36,5436.38,16582.74,0.3278336390729156,No crisis,-0.6043268626277576,0.7606564183165521,0.9230742302138272,6725903,-0.58,1.3649832809443097,0
2025 Q2,2025,2,11055.73,5569.5,16625.23,0.335002884170625,No crisis,0.06172554577781319,0.1467272276105991,0.05649100387898898,6666221,0.33,0.08500168183278589,0
2025 Q3,2025,3,11057.98,5667.7,16725.68,0.3388621568749372,No crisis,-0.01844481293886701,2.773657506972227,1.84630505308383,6627921,-0.03,2.792102319911094,0
2025 Q4,2025,4,11028.18,5756.88,16785.06,0.34297643261328825,No crisis,-0.7040104012382087,-0.5939964912765383,0.07279421039789735,NA,NA,0.11001390996167038,0
